Property ID,Neighborhood,Average Daily Rate,Annual Revenue,Occupancy Rate,Bedrooms,Bathrooms,Airbnb Superhost,Minimum Stay,Latitude,Longitude,Pets Allowed,Has Pool,Has Air Conditioning,Has Parking,Has Terrace,Seasonality
13969432,"Sant Pere, Santa Caterina i la Ribera",109.19,437.0,1.0,1,1.0,False,32.0,41.38248,2.18292,False,False,True,False,False,0.76
13979120,la Barceloneta,96.0,96.0,1.0,1,1.0,False,32.0,41.37885,2.19084,True,False,True,False,False,0.6
13986464,la Nova Esquerra de l'Eixample,184.95,19605.0,0.791,3,1.0,False,3.0,41.38253,2.15752,False,False,True,False,False,0.73
13992866,Sant Antoni,84.05,420.0,1.0,3,1.0,True,32.0,41.37802,2.16066,False,False,True,True,True,0.67
14004632,la Dreta de l'Eixample,320.97,109450.0,0.942,2,2.0,False,2.0,41.39262,2.17423,False,False,True,False,False,0.74
14020724,el Poble Sec,115.11,39484.0,0.94,1,1.0,False,1.0,41.37229,2.16612,False,False,True,True,False,0.49
14021579,el Fort Pienc,220.16,73094.0,0.933,4,2.0,False,2.0,41.3993,2.1804,False,False,True,True,True,0.36
14041469,el Fort Pienc,501.82,93840.0,0.537,4,2.0,False,3.0,41.40158,2.18221,False,False,True,False,False,0.36
14052915,el Barri Gòtic,0.0,0.0,0.0,0,1.0,True,60.0,41.38182,2.18116,False,False,True,False,True,0.72
14062428,Sant Gervasi - la Bonanova,0.0,0.0,0.0,1,1.0,False,32.0,41.41344,2.13763,False,False,True,False,False,0.52
14080842,el Barri Gòtic,0.0,0.0,0.0,3,2.0,False,32.0,41.38084,2.18157,True,True,True,True,True,0.72
14107150,el Barri Gòtic,99.52,5772.0,0.817,3,1.0,False,32.0,41.38015,2.18183,True,False,True,True,True,0.72
14113634,"Sant Pere, Santa Caterina i la Ribera",173.77,9731.0,0.509,2,2.0,False,32.0,41.38144,2.1827,False,True,True,True,False,0.76
14116020,el Raval,78.77,2914.0,0.578,4,2.0,False,90.0,41.38425,2.16516,False,False,True,False,False,0.84
14119569,la Sagrada Família,242.71,26941.0,0.627,2,1.0,False,2.0,41.4041,2.18165,False,False,True,False,False,0.72
14121260,Sant Antoni,352.91,73052.0,0.666,2,1.0,False,3.0,41.37647,2.156,False,False,True,True,False,0.67
14121353,la Dreta de l'Eixample,247.77,29980.0,1.0,2,2.0,True,28.0,41.38759,2.16704,False,False,True,True,False,0.74
14134387,el Fort Pienc,0.0,0.0,0.0,0,1.5,False,3.0,41.39437,2.18093,False,False,True,True,True,0.36
14152120,el Barri Gòtic,107.07,3319.0,1.0,2,1.0,False,31.0,41.38779,2.1736,False,False,True,True,True,0.72
14164414,les Corts,110.73,35766.0,0.958,1,1.5,True,3.0,41.38809,2.1308,False,False,True,True,True,0.53
14171072,la Dreta de l'Eixample,1900.27,602386.0,0.943,9,6.0,False,3.0,41.39573,2.16769,False,False,True,True,False,0.74
14176427,el Poblenou,0.0,0.0,0.0,0,1.5,False,90.0,41.39931,2.19697,True,False,True,True,True,0.41
14178223,el Poblenou,0.0,0.0,0.0,3,1.0,False,3.0,41.40621,2.20259,False,False,True,False,False,0.41
14178375,el Barri Gòtic,184.95,59925.0,0.918,1,0.0,False,1.0,41.3818,2.1745,False,False,True,False,True,0.72
14209613,"Sant Pere, Santa Caterina i la Ribera",0.0,0.0,0.0,2,2.0,False,32.0,41.38136,2.18253,False,True,True,True,True,0.76
14235327,Sant Antoni,99.92,13689.0,0.729,1,1.0,False,6.0,41.37745,2.16178,False,False,True,False,False,0.67
14235583,el Poble Sec,0.0,0.0,0.0,2,1.0,False,32.0,41.3727,2.15973,False,False,True,False,False,0.49
14235866,el Barri Gòtic,0.0,0.0,0.0,1,1.0,False,32.0,41.38372,2.17544,False,False,True,False,False,0.72
14287138,Can Baró,105.63,15000.0,0.893,1,1.0,False,1.0,41.41534,2.1611,False,False,True,True,False,0.53
14308198,el Raval,124.96,3874.0,0.274,1,1.5,True,32.0,41.38499,2.16815,False,False,True,True,True,0.84
14326061,la Sagrada Família,157.75,473.0,0.077,1,1.0,True,32.0,41.40392,2.17155,False,False,True,True,True,0.72
14332869,la Sagrada Família,234.91,78930.0,0.921,4,1.0,False,4.0,41.4074,2.1729,False,False,True,True,False,0.72
14346513,la Dreta de l'Eixample,157.76,54112.0,0.948,1,1.0,True,1.0,41.38997,2.17334,True,False,True,True,True,0.74
14350142,el Fort Pienc,557.04,136475.0,0.669,5,3.0,False,3.0,41.4016,2.1822,False,False,True,True,True,0.36
14352069,el Poblenou,180.02,61387.0,0.932,1,1.0,False,4.0,41.4037,2.2032,False,False,True,True,True,0.41
14365279,"Sant Pere, Santa Caterina i la Ribera",0.0,0.0,0.0,2,1.0,False,150.0,41.3899,2.17942,False,False,True,True,False,0.76
14369495,la Sagrada Família,216.16,7566.0,0.321,3,1.0,False,14.0,41.40258,2.18118,False,False,False,True,True,0.72
14371490,el Barri Gòtic,140.24,1262.0,0.243,1,1.0,False,32.0,41.38179,2.18048,True,False,True,True,True,0.72
14372327,"Sant Pere, Santa Caterina i la Ribera",0.0,0.0,0.0,1,1.0,False,32.0,41.38521,2.1823,False,False,False,False,False,0.76
14387151,la Dreta de l'Eixample,486.66,10707.0,0.786,1,1.5,False,1.0,41.39724,2.16119,False,False,True,True,True,0.74
14399845,"Sant Pere, Santa Caterina i la Ribera",0.0,0.0,0.0,1,1.0,True,32.0,41.388821,2.179228,False,False,True,True,True,0.76
14425781,Sant Antoni,139.09,47988.0,0.972,1,1.0,True,5.0,41.3818,2.1614,False,False,True,True,False,0.67
14434464,la Vila de Gràcia,210.39,36187.0,0.63,3,1.0,True,1.0,41.39866,2.159,False,False,True,False,False,0.64
14434534,la Dreta de l'Eixample,328.02,94471.0,0.87,3,2.0,False,1.0,41.39009,2.1647,False,False,True,True,False,0.74
14462759,la Barceloneta,77.53,2171.0,0.933,2,1.0,True,32.0,41.3779,2.188,False,False,True,True,True,0.6
14463068,el Poble Sec,186.49,49047.0,0.949,4,2.0,False,3.0,41.37337,2.15916,False,False,True,False,False,0.49
14463163,el Fort Pienc,211.03,46849.0,1.0,2,1.0,True,5.0,41.39505,2.17859,False,False,True,True,False,0.36
14464474,la Dreta de l'Eixample,185.73,64262.0,0.945,2,1.0,False,6.0,41.3904,2.1761,True,False,True,True,True,0.74
14482262,la Dreta de l'Eixample,183.42,55394.0,0.956,2,1.0,True,4.0,41.393,2.15896,False,False,True,False,True,0.74
14492815,Sant Antoni,0.0,0.0,0.0,3,1.0,False,40.0,41.38436,2.16371,False,False,True,False,True,0.67
14495526,la Dreta de l'Eixample,187.09,374.0,1.0,3,2.0,False,1.0,41.39527,2.15611,False,False,True,True,True,0.74
14498705,la Dreta de l'Eixample,593.71,80744.0,0.455,2,1.5,True,5.0,41.39161,2.17786,True,False,True,False,True,0.74
14565867,el Poble Sec,123.17,41879.0,0.983,1,1.0,False,1.0,41.37417,2.16839,False,False,True,True,True,0.49
14621782,Sants,172.19,52345.0,0.881,2,2.0,False,1.0,41.3742,2.1392,False,False,True,False,True,0.61
14623889,el Raval,319.43,84648.0,0.839,2,1.0,False,1.0,41.38497,2.16729,True,False,True,True,True,0.84
14625071,Sant Gervasi - Galvany,433.62,105802.0,0.77,4,2.5,False,1.0,41.3984,2.1513,True,False,True,True,False,0.51
14667676,Sant Antoni,307.47,88551.0,0.85,3,2.0,True,3.0,41.37803,2.15564,False,False,True,True,True,0.67
14669223,la Barceloneta,47.26,803.0,1.0,1,1.0,False,90.0,41.38106,2.19027,False,False,True,True,True,0.6
14676014,el Coll,260.11,10925.0,0.221,3,3.0,False,2.0,41.41838,2.15087,False,False,True,True,True,0.28
14711942,Sants,195.66,61632.0,0.861,3,4.0,False,2.0,41.3816,2.1376,False,False,True,True,True,0.61
14719647,Sant Antoni,292.94,75284.0,0.899,2,2.0,True,2.0,41.37507,2.16743,False,False,True,True,True,0.67
14751508,el Poblenou,220.32,49131.0,0.811,3,1.0,False,1.0,41.40638,2.20272,False,False,True,False,False,0.41
14753190,"Sant Pere, Santa Caterina i la Ribera",0.0,0.0,0.0,1,1.0,False,31.0,41.38965,2.17844,False,False,False,False,False,0.76
14765045,el Poblenou,166.37,27950.0,0.706,3,2.5,False,3.0,41.40386,2.20696,True,False,True,True,True,0.41
14766072,Hostafrancs,0.0,0.0,0.0,2,1.0,True,32.0,41.37229,2.14427,False,False,False,False,False,0.81
14778581,la Sagrada Família,29.36,294.0,1.0,2,1.0,False,32.0,41.40454,2.17355,False,False,True,False,True,0.72
14792937,l'Antiga Esquerra de l'Eixample,478.45,23922.0,0.658,3,2.0,False,3.0,41.391242980957,2.15355706214905,True,False,True,True,True,0.69
14819632,Sant Antoni,173.07,56938.0,0.899,3,1.0,False,2.0,41.3822,2.1626,False,False,True,False,True,0.67
14838313,el Raval,0.0,0.0,0.0,4,1.0,False,40.0,41.38469,2.16501,False,False,True,False,False,0.84
14847034,la Sagrada Família,15.07,392.0,0.667,2,1.0,False,32.0,41.40408,2.17495,False,False,True,False,True,0.72
14918045,el Putxet i el Farró,194.53,7392.0,0.704,3,2.0,False,30.0,41.40868,2.13777,False,False,True,False,False,0.22
14923468,Sant Gervasi - Galvany,402.23,74815.0,0.697,3,2.0,False,1.0,41.39405,2.14879,True,False,True,True,True,0.51
14941403,la Barceloneta,79.12,2928.0,1.0,2,1.0,True,32.0,41.38007,2.18703,False,False,True,True,True,0.6
14972130,el Barri Gòtic,0.0,0.0,0.0,2,2.0,False,32.0,41.38047,2.18169,False,True,True,True,True,0.72
14973389,la Barceloneta,117.25,586.0,1.0,1,1.0,True,32.0,41.37828,2.18731,False,False,True,True,True,0.6
14976613,"Sant Pere, Santa Caterina i la Ribera",25.29,51.0,0.027,2,1.0,False,300.0,41.38903,2.17944,False,False,True,False,False,0.76
14981606,el Poble Sec,315.49,74771.0,0.736,3,2.0,False,3.0,41.37279,2.17033,False,False,True,True,True,0.49
14983751,la Dreta de l'Eixample,345.86,79201.0,0.946,2,2.0,True,3.0,41.39765,2.16786,False,False,True,True,True,0.74
14999633,la Barceloneta,66.34,995.0,1.0,2,1.0,True,32.0,41.37961,2.19187,False,False,True,True,False,0.6
15000259,la Barceloneta,69.68,3275.0,1.0,2,1.0,True,32.0,41.37659,2.19063,False,False,True,True,True,0.6
15025611,l'Antiga Esquerra de l'Eixample,224.93,77601.0,0.958,2,2.0,False,3.0,41.3895,2.1581,True,False,True,True,True,0.69
15033088,la Sagrada Família,48.44,1647.0,1.0,2,1.0,False,32.0,41.40626,2.17337,False,False,True,False,True,0.72
15033780,la Sagrada Família,44.87,4846.0,0.75,2,1.0,False,32.0,41.40403,2.17556,False,False,True,False,True,0.72
15035458,Sant Gervasi - Galvany,271.1,68859.0,0.847,1,1.0,False,1.0,41.3941,2.1489,True,False,True,True,False,0.51
15045446,el Poble Sec,222.26,64678.0,0.831,2,1.0,False,1.0,41.37415,2.16709,False,False,True,False,True,0.49
15047479,el Barri Gòtic,264.96,26761.0,0.99,3,2.0,False,1.0,41.37888,2.17566,False,False,True,False,False,0.72
15049853,el Poble Sec,209.14,24679.0,0.67,3,1.0,False,2.0,41.37369,2.16739,False,False,True,False,True,0.49
15050009,el Poble Sec,164.26,42380.0,0.866,2,1.0,False,1.0,41.37377,2.16759,False,False,True,False,True,0.49
15066661,el Poble Sec,152.53,34167.0,0.747,2,1.0,False,2.0,41.37357,2.16804,False,False,True,False,True,0.49
15066805,el Poble Sec,200.15,57043.0,0.824,2,1.0,False,1.0,41.37368,2.16777,False,False,True,False,True,0.49
15085509,la Sagrada Família,272.14,64226.0,0.897,3,1.5,False,2.0,41.4099,2.17643,False,False,True,True,False,0.72
15103148,la Barceloneta,78.54,550.0,1.0,2,1.0,True,32.0,41.38012,2.18725,False,False,True,True,True,0.6
15124297,el Barri Gòtic,339.24,102451.0,0.825,3,2.0,False,1.0,41.38721,2.17427,False,False,True,True,False,0.72
15153134,la Barceloneta,0.0,0.0,0.0,2,1.0,True,32.0,41.37742,2.19083,False,False,True,True,False,0.6
15153698,la Barceloneta,0.0,0.0,0.0,2,1.0,True,32.0,41.38133,2.1895,False,False,True,True,True,0.6
15168718,la Sagrera,60.91,3533.0,0.667,1,1.0,False,32.0,41.42073,2.18847,True,False,True,True,True,0.25
15170544,la Sagrera,0.0,0.0,0.0,1,1.0,False,32.0,41.42215,2.18989,False,False,True,True,True,0.25
15175682,el Poble Sec,160.99,41375.0,0.883,2,1.5,True,2.0,41.37207,2.16308,True,False,True,True,True,0.49
