Property ID,Listing Type,Neighborhood,Average Daily Rate (Native),Annual Revenue LTM (Native),Occupancy Rate LTM,Number of Bookings LTM,Number of Reviews,Bedrooms,Bathrooms,Max Guests,Minimum Stay,Latitude,Longitude
ab-13969432,Entire home/apt,"Sant Pere, Santa Caterina i la Ribera",109.19,437.0,1.0,3.0,6.0,1,1.0,3,32.0,41.38248,2.18292
ab-13979120,Entire home/apt,la Barceloneta,96.0,96.0,1.0,1.0,3.0,1,1.0,2,32.0,41.37885,2.19084
ab-13986464,Entire home/apt,la Nova Esquerra de l'Eixample,184.95,19605.0,0.791,31.0,112.0,3,1.0,6,3.0,41.38253,2.15752
ab-13992866,Entire home/apt,Sant Antoni,84.05,420.0,1.0,1.0,12.0,3,1.0,4,32.0,41.37802,2.16066
ab-13995903,Private room,el Camp de l'Arpa del Clot,40.24,201.0,0.042,5.0,103.0,1,1.0,1,32.0,41.40836,2.18112
ab-14001620,Private room,la Nova Esquerra de l'Eixample,61.51,3506.0,1.0,9.0,19.0,1,1.5,2,1.0,41.38073,2.14363
ab-14004632,Entire home/apt,la Dreta de l'Eixample,320.97,109450.0,0.942,111.0,224.0,2,2.0,6,2.0,41.39262,2.17423
ab-14006090,Hotel room,el Poble Sec,131.38,38363.0,0.854,194.0,583.0,1,1.0,3,1.0,41.37348556518555,2.16728591918945
ab-14006318,Private room,el Fort Pienc,66.38,6107.0,0.332,18.0,17.0,1,2.0,1,2.0,41.3971,2.18031
ab-14020724,Entire home/apt,el Poble Sec,115.11,39484.0,0.94,131.0,357.0,1,1.0,2,1.0,41.37229,2.16612
ab-14021579,Entire home/apt,el Fort Pienc,220.16,73094.0,0.933,108.0,336.0,4,2.0,6,2.0,41.3993,2.1804
ab-14036933,Private room,"Sant Pere, Santa Caterina i la Ribera",65.61,2428.0,1.0,1.0,270.0,1,1.5,2,90.0,41.38886,2.18574
ab-14041469,Entire home/apt,el Fort Pienc,501.82,93840.0,0.537,56.0,30.0,4,2.0,8,3.0,41.40158,2.18221
ab-14052904,Private room,el Fort Pienc,14.68,763.0,1.0,2.0,19.0,1,1.5,1,30.0,41.39663,2.18234
ab-14061998,Private room,el Poble Sec,70.29,5412.0,0.535,21.0,68.0,1,1.0,2,31.0,41.37393,2.1628
ab-14078469,Private room,la Dreta de l'Eixample,108.04,30467.0,0.801,162.0,79.0,1,1.0,1,1.0,41.394,2.1581
ab-14089552,Private room,"Sant Pere, Santa Caterina i la Ribera",73.04,219.0,0.214,1.0,11.0,1,1.0,2,4.0,41.38867,2.17981
ab-14099369,Private room,el Carmel,36.37,3382.0,0.554,6.0,7.0,1,1.0,2,32.0,41.4225,2.15713
ab-14099815,Private room,Sant Antoni,59.12,1892.0,0.239,10.0,16.0,1,2.0,1,1.0,41.38022,2.15931
ab-14101958,Private room,l'Antiga Esquerra de l'Eixample,59.91,1438.0,0.338,7.0,14.0,1,1.0,1,2.0,41.38625,2.16214
ab-14107150,Entire home/apt,el Barri Gòtic,99.52,5772.0,0.817,3.0,14.0,3,1.0,4,32.0,41.38015,2.18183
ab-14113634,Entire home/apt,"Sant Pere, Santa Caterina i la Ribera",173.77,9731.0,0.509,4.0,3.0,2,2.0,4,32.0,41.38144,2.1827
ab-14119569,Entire home/apt,la Sagrada Família,242.71,26941.0,0.627,38.0,157.0,2,1.0,4,2.0,41.4041,2.18165
ab-14121260,Entire home/apt,Sant Antoni,352.91,73052.0,0.666,57.0,207.0,2,1.0,4,3.0,41.37647,2.156
ab-14121353,Entire home/apt,la Dreta de l'Eixample,247.77,29980.0,1.0,5.0,129.0,2,2.0,6,28.0,41.38759,2.16704
ab-14132336,Private room,la Bordeta,60.29,4280.0,0.696,6.0,19.0,1,1.0,1,31.0,41.37111,2.13975
ab-14136311,Private room,Sant Antoni,97.97,3331.0,0.557,2.0,72.0,1,1.5,2,31.0,41.37821,2.1544
