Neighborhood,,Pets Allowed,Has Pool,Has Air Conditioning,Has Parking,Has Terrace
Can Baró,With Amenity,1481.1,,14682.055555555555,20384.69230769231,21381.6
Can Baró,Without Amenity,16594.516129032258,12908.317073170732,137.4,9437.142857142857,8019.884615384615
Canyelles,With Amenity,,,6630.0,0.0,
Canyelles,Without Amenity,6630.0,6630.0,,9945.0,6630.0
Diagonal Mar i el Front Marítim del Poblenou,With Amenity,37911.068181818184,26082.406779661018,26558.151898734177,29321.32,37210.48863636364
Diagonal Mar i el Front Marítim del Poblenou,Without Amenity,21449.271186440677,25827.563106796115,728.25,22988.528735632182,12494.297297297297
Horta,With Amenity,9746.5,441.0,9975.0625,16853.25,16123.142857142857
Horta,Without Amenity,10007.714285714286,11337.07142857143,,3096.875,5193.222222222223
Hostafrancs,With Amenity,7011.872727272727,,24082.71573604061,29496.0,32771.46875
Hostafrancs,Without Amenity,29305.174496644297,23294.725490196077,1118.4285714285713,20587.12676056338,14870.953703703704
Montbau,With Amenity,0.0,3287.0,1662.8,2771.3333333333335,1991.3333333333333
Montbau,Without Amenity,2771.3333333333335,1256.75,,0.0,1170.0
Navas,With Amenity,14306.5,1462.3333333333333,15223.28205128205,16118.125,27625.809523809523
Navas,Without Amenity,14510.542857142857,15508.447368421053,0.0,13432.72,678.3
Pedralbes,With Amenity,13530.333333333334,5992.636363636364,7246.551724137931,9581.5625,13927.615384615385
Pedralbes,Without Amenity,5373.666666666667,7591.105263157895,0.0,4060.3571428571427,1711.235294117647
Porta,With Amenity,152.0,0.0,17457.0625,15092.09090909091,34662.166666666664
Porta,Without Amenity,19929.214285714286,18620.866666666665,,22660.0,7134.0
Provençals del Poblenou,With Amenity,12092.291666666666,16298.285714285714,14278.583333333334,18517.05,22413.310344827587
Provençals del Poblenou,Without Amenity,13944.518518518518,12297.456140350878,2526.8333333333335,7961.5,8025.163265306122
Sant Andreu,With Amenity,8777.75,7097.0,8480.924528301886,7085.6,10022.35294117647
Sant Andreu,Without Amenity,7729.565217391304,7976.767857142857,2280.8,8399.5,7085.682926829269
Sant Antoni,With Amenity,25680.85714285714,3372.090909090909,33255.68465909091,44564.93984962406,41022.80976863753
Sant Antoni,Without Amenity,33710.68524590164,32915.16315049226,1542.888888888889,25406.798245614034,22468.171171171172
Sant Genís dels Agudells,With Amenity,30054.666666666668,27692.333333333332,12164.75,13544.857142857143,29244.0
Sant Genís dels Agudells,Without Amenity,1430.8,2848.2,,2504.0,1917.2
Sant Gervasi - Galvany,With Amenity,17322.325581395347,14566.108108108108,18913.414634146342,28592.31,24505.1261682243
Sant Gervasi - Galvany,Without Amenity,19131.059782608696,19163.07913669065,0.0,11068.850393700788,13691.054166666667
Sant Gervasi - la Bonanova,With Amenity,8229.538461538461,1695.5,17265.266666666666,24611.8125,27460.916666666668
Sant Gervasi - la Bonanova,Without Amenity,18618.02,16958.918032786885,656.3333333333334,8074.419354838709,9713.410256410256
Sant Martí de Provençals,With Amenity,31792.25,,22163.1,22374.941176470587,36141.2
Sant Martí de Provençals,Without Amenity,19204.428571428572,20777.90625,0.0,18967.933333333334,17932.85185185185
"Sant Pere, Santa Caterina i la Ribera",With Amenity,7880.321100917431,1843.171875,11759.2421875,12364.361370716511,14947.892514395393
"Sant Pere, Santa Caterina i la Ribera",Without Amenity,12255.988741044011,12001.810786914235,3380.5581395348836,11124.772311212815,8759.879821958457
